LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[Ano];LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[Mês];LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[MonthNo];LocalDateTable_3c4c1d27-aba3-4e2e-8b52-c6ebec4f2aa5[Dia];[Quantidade_Distinta_de_Pedidos]
2018;janeiro;1;2;148
2018;janeiro;1;3;128
2018;janeiro;1;4;99
2018;janeiro;1;5;115
2018;janeiro;1;8;44
2018;janeiro;1;9;109
2018;janeiro;1;10;100
2018;janeiro;1;11;74
2018;janeiro;1;12;92
2018;janeiro;1;15;86
2018;janeiro;1;16;121
2018;janeiro;1;17;85
2018;janeiro;1;18;86
2018;janeiro;1;19;57
2018;janeiro;1;22;50
2018;janeiro;1;23;140
2018;janeiro;1;24;14
2018;janeiro;1;25;92
2018;janeiro;1;26;45
2018;janeiro;1;29;89
2018;janeiro;1;30;141
2018;janeiro;1;31;94
2018;fevereiro;2;1;30
2018;fevereiro;2;2;45
2018;fevereiro;2;5;33
2018;fevereiro;2;6;123
2018;fevereiro;2;7;96
2018;fevereiro;2;8;112
2018;fevereiro;2;9;89
2018;fevereiro;2;13;139
2018;fevereiro;2;14;34
2018;fevereiro;2;15;129
2018;fevereiro;2;16;48
2018;fevereiro;2;19;55
2018;fevereiro;2;20;112
2018;fevereiro;2;21;85
2018;fevereiro;2;22;132
2018;fevereiro;2;23;73
2018;fevereiro;2;26;84
2018;fevereiro;2;27;124
2018;fevereiro;2;28;129
2018;março;3;1;81
2018;março;3;2;55
2018;março;3;5;30
2018;março;3;6;108
2018;março;3;7;68
2018;março;3;8;138
2018;março;3;9;68
2018;março;3;12;65
2018;março;3;13;120
2018;março;3;14;111
2018;março;3;15;102
2018;março;3;16;70
2018;março;3;19;49
2018;março;3;20;107
2018;março;3;21;124
2018;março;3;22;102
2018;março;3;23;65
2018;março;3;26;87
2018;março;3;27;138
2018;março;3;28;91
2018;março;3;29;101
2018;abril;4;2;26
2018;abril;4;3;111
2018;abril;4;4;97
2018;abril;4;5;82
2018;abril;4;6;99
2018;abril;4;9;57
2018;abril;4;10;136
2018;abril;4;11;125
2018;abril;4;12;82
2018;abril;4;13;48
2018;abril;4;16;30
2018;abril;4;17;148
2018;abril;4;18;115
2018;abril;4;19;92
2018;abril;4;20;80
2018;abril;4;23;86
2018;abril;4;24;154
2018;abril;4;25;103
2018;abril;4;26;74
2018;abril;4;27;115
2018;abril;4;30;115
2018;maio;5;2;81
2018;maio;5;3;84
2018;maio;5;4;57
2018;maio;5;7;63
2018;maio;5;8;166
2018;maio;5;9;142
2018;maio;5;10;90
2018;maio;5;11;52
2018;maio;5;14;68
2018;maio;5;15;160
2018;maio;5;16;82
2018;maio;5;17;56
2018;maio;5;18;69
2018;maio;5;21;73
2018;maio;5;22;155
2018;maio;5;23;84
2018;maio;5;24;34
2018;maio;5;25;85
2018;maio;5;28;28
2018;maio;5;29;40
2018;maio;5;30;135
2018;junho;6;1;108
2018;junho;6;4;66
2018;junho;6;5;124
2018;junho;6;6;54
2018;junho;6;7;101
2018;junho;6;8;71
2018;junho;6;11;86
2018;junho;6;12;131
2018;junho;6;13;124
2018;junho;6;14;57
2018;junho;6;15;77
2018;junho;6;18;78
2018;junho;6;19;110
2018;junho;6;20;89
2018;junho;6;21;45
2018;junho;6;22;70
2018;junho;6;25;77
2018;junho;6;26;126
2018;junho;6;27;116
2018;junho;6;28;58
2018;junho;6;29;96
2018;julho;7;2;70
2018;julho;7;3;125
2018;julho;7;4;111
2018;julho;7;5;79
2018;julho;7;6;43
2018;julho;7;9;83
2018;julho;7;10;140
2018;julho;7;11;112
2018;julho;7;12;58
2018;julho;7;13;63
2018;julho;7;16;78
2018;julho;7;17;165
2018;julho;7;18;68
2018;julho;7;19;64
2018;julho;7;20;59
2018;julho;7;23;70
2018;julho;7;24;137
2018;julho;7;25;134
2018;julho;7;26;82
2018;julho;7;27;55
2018;julho;7;30;99
2018;julho;7;31;201
2018;agosto;8;1;21
2018;agosto;8;2;83
2018;agosto;8;3;78
2018;agosto;8;6;83
2018;agosto;8;7;128
2018;agosto;8;8;123
2018;agosto;8;9;89
2018;agosto;8;10;37
2018;agosto;8;13;103
2018;agosto;8;14;129
2018;agosto;8;15;111
2018;agosto;8;16;42
2018;agosto;8;17;97
2018;agosto;8;20;79
2018;agosto;8;21;116
2018;agosto;8;22;101
2018;agosto;8;23;90
2018;agosto;8;24;9
2018;agosto;8;27;90
2018;agosto;8;28;143
2018;agosto;8;29;126
2018;agosto;8;30;84
2018;agosto;8;31;98
2018;setembro;9;3;72
2018;setembro;9;4;145
2018;setembro;9;5;121
2018;setembro;9;6;79
2018;setembro;9;10;88
2018;setembro;9;11;120
2018;setembro;9;12;112
2018;setembro;9;13;91
2018;setembro;9;14;74
2018;setembro;9;17;82
2018;setembro;9;18;148
2018;setembro;9;19;113
2018;setembro;9;21;58
2018;setembro;9;24;89
2018;setembro;9;25;157
2018;setembro;9;26;105
2018;setembro;9;27;64
2018;setembro;9;28;100
2018;outubro;10;1;61
2018;outubro;10;2;142
2018;outubro;10;3;115
2018;outubro;10;4;81
2018;outubro;10;5;102
2018;outubro;10;8;45
2018;outubro;10;9;158
2018;outubro;10;10;212
2018;outubro;10;11;94
2018;outubro;10;15;99
2018;outubro;10;16;133
2018;outubro;10;17;185
2018;outubro;10;18;43
2018;outubro;10;19;72
2018;outubro;10;22;117
2018;outubro;10;23;134
2018;outubro;10;24;118
2018;outubro;10;25;119
2018;outubro;10;26;81
2018;outubro;10;29;133
2018;outubro;10;30;166
2018;outubro;10;31;156
2018;novembro;11;1;102
2018;novembro;11;5;117
2018;novembro;11;6;181
2018;novembro;11;7;105
2018;novembro;11;8;50
2018;novembro;11;9;58
2018;novembro;11;12;131
2018;novembro;11;13;148
2018;novembro;11;14;124
2018;novembro;11;16;93
2018;novembro;11;19;109
2018;novembro;11;20;100
2018;novembro;11;21;184
2018;novembro;11;22;57
2018;novembro;11;23;46
2018;novembro;11;26;114
2018;novembro;11;27;144
2018;novembro;11;28;134
2018;novembro;11;29;56
2018;novembro;11;30;100
2018;dezembro;12;3;80
2018;dezembro;12;4;170
2018;dezembro;12;5;111
2018;dezembro;12;6;49
2018;dezembro;12;7;85
2018;dezembro;12;10;127
2018;dezembro;12;11;136
2018;dezembro;12;12;176
2018;dezembro;12;13;83
2018;dezembro;12;14;80
2018;dezembro;12;17;150
2018;dezembro;12;18;135
2018;dezembro;12;19;123
2018;dezembro;12;20;118
2018;dezembro;12;21;150
2018;dezembro;12;26;120
2018;dezembro;12;27;140
2018;dezembro;12;28;118
2019;janeiro;1;2;84
2019;janeiro;1;3;71
2019;janeiro;1;4;54
2019;janeiro;1;7;113
2019;janeiro;1;8;126
2019;janeiro;1;9;120
2019;janeiro;1;10;45
2019;janeiro;1;11;79
2019;janeiro;1;14;77
2019;janeiro;1;15;144
2019;janeiro;1;16;151
2019;janeiro;1;17;39
2019;janeiro;1;18;79
2019;janeiro;1;21;138
2019;janeiro;1;22;116
2019;janeiro;1;23;131
2019;janeiro;1;24;42
2019;janeiro;1;25;103
2019;janeiro;1;28;60
2019;janeiro;1;29;104
2019;janeiro;1;30;153
2019;janeiro;1;31;68
2019;fevereiro;2;1;79
2019;fevereiro;2;4;40
2019;fevereiro;2;5;161
2019;fevereiro;2;6;169
2019;fevereiro;2;7;58
2019;fevereiro;2;8;124
2019;fevereiro;2;11;53
2019;fevereiro;2;12;140
2019;fevereiro;2;13;159
2019;fevereiro;2;14;46
2019;fevereiro;2;15;101
2019;fevereiro;2;18;106
2019;fevereiro;2;19;140
2019;fevereiro;2;20;149
2019;fevereiro;2;21;59
2019;fevereiro;2;22;132
2019;fevereiro;2;25;83
2019;fevereiro;2;26;140
2019;fevereiro;2;27;130
2019;fevereiro;2;28;55
2019;março;3;1;75
2019;março;3;4;122
2019;março;3;5;141
2019;março;3;6;95
2019;março;3;7;48
2019;março;3;8;117
2019;março;3;11;98
2019;março;3;12;131
2019;março;3;13;152
2019;março;3;14;42
2019;março;3;15;129
2019;março;3;18;137
2019;março;3;19;142
2019;março;3;20;165
2019;março;3;21;85
2019;março;3;22;101
2019;março;3;25;171
2019;março;3;26;151
2019;março;3;27;124
2019;março;3;28;90
2019;março;3;29;121
2019;abril;4;1;71
2019;abril;4;2;183
2019;abril;4;3;153
2019;abril;4;4;74
2019;abril;4;5;86
2019;abril;4;8;157
2019;abril;4;9;134
2019;abril;4;10;120
2019;abril;4;11;117
2019;abril;4;12;105
2019;abril;4;15;134
2019;abril;4;16;177
2019;abril;4;17;166
2019;abril;4;18;119
2019;abril;4;22;166
2019;abril;4;23;160
2019;abril;4;24;132
2019;abril;4;25;114
2019;abril;4;26;122
2019;abril;4;29;148
2019;abril;4;30;175
2019;maio;5;2;80
2019;maio;5;3;117
2019;maio;5;6;112
2019;maio;5;7;156
2019;maio;5;8;203
2019;maio;5;9;123
2019;maio;5;10;128
2019;maio;5;13;131
2019;maio;5;14;122
2019;maio;5;15;185
2019;maio;5;16;137
2019;maio;5;17;116
2019;maio;5;20;166
2019;maio;5;21;145
2019;maio;5;22;150
2019;maio;5;23;125
2019;maio;5;24;85
2019;maio;5;27;132
2019;maio;5;28;126
2019;maio;5;29;145
2019;maio;5;30;92
2019;maio;5;31;113
2019;junho;6;3;116
2019;junho;6;4;128
2019;junho;6;5;150
2019;junho;6;6;109
2019;junho;6;7;107
2019;junho;6;10;130
2019;junho;6;11;137
2019;junho;6;12;132
2019;junho;6;13;179
2019;junho;6;14;98
2019;junho;6;17;207
2019;junho;6;18;155
2019;junho;6;19;201
2019;junho;6;21;100
2019;junho;6;24;138
2019;junho;6;25;187
2019;junho;6;26;91
2019;junho;6;27;113
2019;junho;6;28;32
2019;julho;7;1;145
2019;julho;7;2;131
2019;julho;7;3;173
2019;julho;7;4;178
2019;julho;7;5;145
2019;julho;7;8;170
2019;julho;7;9;129
2019;julho;7;10;151
2019;julho;7;11;69
2019;julho;7;12;68
2019;julho;7;15;161
2019;julho;7;16;137
2019;julho;7;17;108
2019;julho;7;18;54
2019;julho;7;19;65
2019;julho;7;22;122
2019;julho;7;23;125
2019;julho;7;24;159
2019;julho;7;25;86
2019;julho;7;26;70
2019;julho;7;29;150
2019;julho;7;30;120
2019;julho;7;31;165
2019;agosto;8;1;40
2019;agosto;8;2;86
2019;agosto;8;5;93
2019;agosto;8;6;110
2019;agosto;8;7;266
2019;agosto;8;8;130
2019;agosto;8;9;71
2019;agosto;8;12;139
2019;agosto;8;13;111
2019;agosto;8;14;134
2019;agosto;8;15;160
2019;agosto;8;16;75
2019;agosto;8;19;137
2019;agosto;8;20;112
2019;agosto;8;21;138
2019;agosto;8;22;32
2019;agosto;8;23;95
2019;agosto;8;26;123
2019;agosto;8;27;119
2019;agosto;8;28;133
2019;agosto;8;29;64
2019;agosto;8;30;105
2019;setembro;9;2;108
2019;setembro;9;3;115
2019;setembro;9;4;143
2019;setembro;9;5;126
2019;setembro;9;6;54
2019;setembro;9;9;122
2019;setembro;9;10;122
2019;setembro;9;11;135
2019;setembro;9;12;141
2019;setembro;9;13;71
2019;setembro;9;16;140
2019;setembro;9;17;132
2019;setembro;9;18;146
2019;setembro;9;19;98
2019;setembro;9;23;132
2019;setembro;9;24;150
2019;setembro;9;25;111
2019;setembro;9;26;39
2019;setembro;9;27;107
2019;setembro;9;30;116
2019;outubro;10;1;138
2019;outubro;10;2;143
2019;outubro;10;3;105
2019;outubro;10;4;131
2019;outubro;10;7;136
2019;outubro;10;8;106
2019;outubro;10;9;205
2019;outubro;10;10;57
2019;outubro;10;11;109
2019;outubro;10;14;134
2019;outubro;10;15;131
2019;outubro;10;16;97
2019;outubro;10;17;32
2019;outubro;10;18;91
2019;outubro;10;21;126
2019;outubro;10;22;120
2019;outubro;10;23;123
2019;outubro;10;24;36
2019;outubro;10;25;111
2019;outubro;10;28;115
2019;outubro;10;29;124
2019;outubro;10;30;178
2019;outubro;10;31;36
2019;novembro;11;1;102
2019;novembro;11;4;108
2019;novembro;11;5;144
2019;novembro;11;6;118
2019;novembro;11;7;152
2019;novembro;11;8;120
2019;novembro;11;11;117
2019;novembro;11;12;139
2019;novembro;11;13;148
2019;novembro;11;14;159
2019;novembro;11;18;128
2019;novembro;11;19;116
2019;novembro;11;20;89
2019;novembro;11;21;57
2019;novembro;11;22;89
2019;novembro;11;25;60
2019;novembro;11;26;186
2019;novembro;11;27;97
2019;novembro;11;28;40
2019;novembro;11;29;107
2019;dezembro;12;2;112
2019;dezembro;12;3;152
2019;dezembro;12;4;103
2019;dezembro;12;5;73
2019;dezembro;12;6;111
2019;dezembro;12;9;123
2019;dezembro;12;10;155
2019;dezembro;12;11;125
2019;dezembro;12;12;38
2019;dezembro;12;13;122
2019;dezembro;12;16;128
2019;dezembro;12;17;163
2019;dezembro;12;18;70
2019;dezembro;12;19;115
2019;dezembro;12;20;54
2019;dezembro;12;23;204
2019;dezembro;12;24;60
2019;dezembro;12;26;128
2019;dezembro;12;27;34
2019;dezembro;12;30;98
2019;dezembro;12;31;78
2020;janeiro;1;2;86
2020;janeiro;1;3;41
2020;janeiro;1;6;68
2020;janeiro;1;7;220
2020;janeiro;1;8;46
2020;janeiro;1;9;52
2020;janeiro;1;10;106
2020;janeiro;1;13;46
2020;janeiro;1;14;182
2020;janeiro;1;15;70
2020;janeiro;1;16;31
2020;janeiro;1;17;107
2020;janeiro;1;20;88
2020;janeiro;1;21;223
2020;janeiro;1;22;39
2020;janeiro;1;23;61
2020;janeiro;1;24;110
2020;janeiro;1;27;93
2020;janeiro;1;28;125
2020;janeiro;1;29;86
2020;janeiro;1;30;42
2020;janeiro;1;31;111
2020;fevereiro;2;3;32
2020;fevereiro;2;4;115
2020;fevereiro;2;5;153
2020;fevereiro;2;6;35
2020;fevereiro;2;7;105
2020;fevereiro;2;10;58
2020;fevereiro;2;11;173
2020;fevereiro;2;12;80
2020;fevereiro;2;13;61
2020;fevereiro;2;14;110
2020;fevereiro;2;17;40
2020;fevereiro;2;18;128
2020;fevereiro;2;19;166
2020;fevereiro;2;20;40
2020;fevereiro;2;21;127
2020;fevereiro;2;24;62
2020;fevereiro;2;25;107
2020;fevereiro;2;26;100
2020;fevereiro;2;27;29
2020;fevereiro;2;28;123
2020;março;3;2;96
2020;março;3;3;142
2020;março;3;4;125
2020;março;3;5;98
2020;março;3;6;140
2020;março;3;9;54
2020;março;3;10;127
2020;março;3;11;147
2020;março;3;12;46
2020;março;3;13;91
2020;março;3;16;55
2020;março;3;17;132
2020;março;3;18;171
2020;março;3;19;41
2020;março;3;20;105
2020;março;3;23;45
2020;março;3;24;98
2020;março;3;25;123
2020;março;3;26;11
2020;março;3;27;75
2020;março;3;30;46
2020;março;3;31;91
2020;abril;4;1;107
2020;abril;4;2;16
2020;abril;4;3;71
2020;abril;4;6;89
2020;abril;4;7;106
2020;abril;4;8;94
2020;abril;4;9;121
2020;abril;4;13;101
2020;abril;4;14;132
2020;abril;4;15;112
2020;abril;4;16;43
2020;abril;4;17;101
2020;abril;4;20;124
2020;abril;4;22;141
2020;abril;4;23;24
2020;abril;4;24;112
2020;abril;4;27;55
2020;abril;4;28;113
2020;abril;4;29;168
2020;abril;4;30;119
2020;maio;5;4;55
2020;maio;5;5;111
2020;maio;5;6;158
2020;maio;5;7;31
2020;maio;5;8;115
2020;maio;5;11;59
2020;maio;5;12;127
2020;maio;5;13;144
2020;maio;5;14;17
2020;maio;5;15;107
2020;maio;5;18;51
2020;maio;5;19;100
2020;maio;5;20;107
2020;maio;5;21;17
2020;maio;5;22;87
2020;maio;5;25;59
2020;maio;5;26;161
2020;maio;5;27;133
2020;maio;5;28;13
2020;maio;5;29;108
2020;junho;6;1;51
2020;junho;6;2;135
2020;junho;6;3;129
2020;junho;6;4;21
2020;junho;6;5;115
2020;junho;6;8;108
2020;junho;6;9;135
2020;junho;6;10;118
2020;junho;6;12;104
2020;junho;6;15;60
2020;junho;6;16;116
2020;junho;6;17;135
2020;junho;6;18;20
2020;junho;6;19;86
2020;junho;6;22;46
2020;junho;6;23;109
2020;junho;6;24;151
2020;junho;6;25;10
2020;junho;6;26;92
2020;junho;6;29;61
2020;junho;6;30;130
2020;julho;7;1;136
2020;julho;7;2;26
2020;julho;7;3;109
2020;julho;7;6;52
2020;julho;7;7;139
2020;julho;7;8;155
2020;julho;7;9;19
2020;julho;7;10;112
2020;julho;7;13;63
2020;julho;7;14;126
2020;julho;7;15;142
2020;julho;7;16;8
2020;julho;7;17;90
2020;julho;7;20;88
2020;julho;7;21;81
2020;julho;7;22;163
2020;julho;7;23;11
2020;julho;7;24;117
2020;julho;7;27;73
2020;julho;7;28;115
2020;julho;7;29;145
2020;julho;7;30;22
2020;julho;7;31;133
2020;agosto;8;3;41
2020;agosto;8;4;128
2020;agosto;8;5;203
2020;agosto;8;6;29
2020;agosto;8;7;109
2020;agosto;8;10;65
2020;agosto;8;11;116
2020;agosto;8;12;169
2020;agosto;8;13;11
2020;agosto;8;14;119
2020;agosto;8;17;50
2020;agosto;8;18;130
2020;agosto;8;19;147
2020;agosto;8;20;9
2020;agosto;8;21;106
2020;agosto;8;24;68
2020;agosto;8;25;123
2020;agosto;8;26;139
2020;agosto;8;27;29
2020;agosto;8;28;85
2020;agosto;8;31;107
2020;setembro;9;1;143
2020;setembro;9;2;92
2020;setembro;9;3;44
2020;setembro;9;4;104
2020;setembro;9;8;229
2020;setembro;9;9;87
2020;setembro;9;10;59
2020;setembro;9;11;126
2020;setembro;9;14;60
2020;setembro;9;15;162
2020;setembro;9;16;157
2020;setembro;9;17;27
2020;setembro;9;18;94
2020;setembro;9;21;64
2020;setembro;9;22;118
2020;setembro;9;23;123
2020;setembro;9;24;18
2020;setembro;9;25;107
2020;setembro;9;28;60
2020;setembro;9;29;164
2020;setembro;9;30;146
2020;outubro;10;1;34
2020;outubro;10;2;116
2020;outubro;10;5;71
2020;outubro;10;6;127
2020;outubro;10;7;143
2020;outubro;10;8;26
2020;outubro;10;9;115
2020;outubro;10;13;188
2020;outubro;10;14;143
2020;outubro;10;15;25
2020;outubro;10;16;108
2020;outubro;10;19;62
2020;outubro;10;20;107
2020;outubro;10;21;127
2020;outubro;10;22;20
2020;outubro;10;23;108
2020;outubro;10;26;53
2020;outubro;10;27;138
2020;outubro;10;28;155
2020;outubro;10;29;31
2020;outubro;10;30;129
2020;novembro;11;3;177
2020;novembro;11;4;129
2020;novembro;11;5;27
2020;novembro;11;6;108
2020;novembro;11;9;51
2020;novembro;11;10;191
2020;novembro;11;11;144
2020;novembro;11;12;44
2020;novembro;11;13;105
2020;novembro;11;16;123
2020;novembro;11;17;218
2020;novembro;11;18;39
2020;novembro;11;19;30
2020;novembro;11;20;85
2020;novembro;11;23;66
2020;novembro;11;24;138
2020;novembro;11;25;164
2020;novembro;11;26;23
2020;novembro;11;27;123
2020;novembro;11;30;84
2020;dezembro;12;1;139
2020;dezembro;12;2;151
2020;dezembro;12;3;31
2020;dezembro;12;4;115
2020;dezembro;12;7;53
2020;dezembro;12;8;157
2020;dezembro;12;9;180
2020;dezembro;12;10;20
2020;dezembro;12;11;134
2020;dezembro;12;14;70
2020;dezembro;12;15;136
2020;dezembro;12;16;157
2020;dezembro;12;17;26
2020;dezembro;12;18;151
2020;dezembro;12;21;148
2020;dezembro;12;22;146
2020;dezembro;12;23;102
2020;dezembro;12;24;23
2020;dezembro;12;28;179
2020;dezembro;12;29;119
2020;dezembro;12;30;69
2020;dezembro;12;31;7
2021;janeiro;1;4;52
2021;janeiro;1;5;139
2021;janeiro;1;6;127
2021;janeiro;1;7;16
2021;janeiro;1;8;91
2021;janeiro;1;11;67
2021;janeiro;1;12;110
2021;janeiro;1;13;148
2021;janeiro;1;14;30
2021;janeiro;1;15;121
2021;janeiro;1;18;71
2021;janeiro;1;19;129
2021;janeiro;1;20;155
2021;janeiro;1;21;19
2021;janeiro;1;22;105
2021;janeiro;1;25;58
2021;janeiro;1;26;116
2021;janeiro;1;27;151
2021;janeiro;1;28;22
2021;janeiro;1;29;149
2021;fevereiro;2;1;63
2021;fevereiro;2;2;108
2021;fevereiro;2;3;132
2021;fevereiro;2;4;18
2021;fevereiro;2;5;106
2021;fevereiro;2;8;121
2021;fevereiro;2;9;149
2021;fevereiro;2;10;38
2021;fevereiro;2;11;42
2021;fevereiro;2;12;98
2021;fevereiro;2;15;122
2021;fevereiro;2;16;160
2021;fevereiro;2;17;21
2021;fevereiro;2;18;22
2021;fevereiro;2;19;106
2021;fevereiro;2;22;129
2021;fevereiro;2;23;118
2021;fevereiro;2;24;74
2021;fevereiro;2;25;26
2021;fevereiro;2;26;89
2021;março;3;1;23
2021;março;3;2;239
2021;março;3;3;36
2021;março;3;4;23
2021;março;3;5;95
2021;março;3;8;113
2021;março;3;9;99
2021;março;3;10;99
2021;março;3;11;32
2021;março;3;12;103
2021;março;3;15;101
2021;março;3;16;130
2021;março;3;17;94
2021;março;3;18;106
2021;março;3;22;62
2021;março;3;23;118
2021;março;3;24;142
2021;março;3;25;11
2021;março;3;26;104
2021;março;3;29;159
2021;março;3;30;97
2021;março;3;31;34
2021;abril;4;1;101
2021;abril;4;5;69
2021;abril;4;6;107
2021;abril;4;7;121
2021;abril;4;8;24
2021;abril;4;9;94
2021;abril;4;12;48
2021;abril;4;13;135
2021;abril;4;14;137
2021;abril;4;15;24
2021;abril;4;16;102
2021;abril;4;19;116
2021;abril;4;20;153
2021;abril;4;22;38
2021;abril;4;23;115
2021;abril;4;26;49
2021;abril;4;27;125
2021;abril;4;28;162
2021;abril;4;29;10
2021;abril;4;30;105
2021;maio;5;3;55
2021;maio;5;4;97
2021;maio;5;5;129
2021;maio;5;6;28
2021;maio;5;7;88
2021;maio;5;10;67
2021;maio;5;11;119
2021;maio;5;12;164
2021;maio;5;13;18
2021;maio;5;14;110
2021;maio;5;17;55
2021;maio;5;18;125
2021;maio;5;19;140
2021;maio;5;20;14
2021;maio;5;21;91
2021;maio;5;24;73
2021;maio;5;25;105
2021;maio;5;26;171
2021;maio;5;28;108
2021;maio;5;31;70
2021;junho;6;1;232
2021;junho;6;2;25
2021;junho;6;4;105
2021;junho;6;7;62
2021;junho;6;8;210
2021;junho;6;9;48
2021;junho;6;10;1
2021;junho;6;11;114
2021;junho;6;14;121
2021;junho;6;15;160
2021;junho;6;16;29
2021;junho;6;17;13
2021;junho;6;18;95
2021;junho;6;21;105
2021;junho;6;22;162
2021;junho;6;23;54
2021;junho;6;24;28
2021;junho;6;25;102
2021;junho;6;28;129
2021;junho;6;29;109
2021;junho;6;30;74
2021;julho;7;1;18
2021;julho;7;2;107
2021;julho;7;5;83
2021;julho;7;6;230
2021;julho;7;7;40
2021;julho;7;8;2
2021;julho;7;9;126
2021;julho;7;12;115
2021;julho;7;13;176
2021;julho;7;14;53
2021;julho;7;15;27
2021;julho;7;16;79
2021;julho;7;19;100
2021;julho;7;20;107
2021;julho;7;21;140
2021;julho;7;22;16
2021;julho;7;23;108
2021;julho;7;26;92
2021;julho;7;27;108
2021;julho;7;28;120
2021;julho;7;29;19
2021;julho;7;30;123
2021;agosto;8;2;56
2021;agosto;8;3;114
2021;agosto;8;4;160
2021;agosto;8;5;9
2021;agosto;8;6;105
2021;agosto;8;9;80
2021;agosto;8;10;160
2021;agosto;8;11;121
2021;agosto;8;12;29
2021;agosto;8;13;94
2021;agosto;8;16;83
2021;agosto;8;17;177
2021;agosto;8;18;97
2021;agosto;8;19;11
2021;agosto;8;20;109
2021;agosto;8;23;64
2021;agosto;8;24;120
2021;agosto;8;25;130
2021;agosto;8;26;2
2021;agosto;8;27;118
2021;agosto;8;30;72
2021;agosto;8;31;193
2021;setembro;9;1;114
2021;setembro;9;2;20
2021;setembro;9;3;124
2021;setembro;9;6;145
2021;setembro;9;8;129
2021;setembro;9;9;39
2021;setembro;9;10;107
2021;setembro;9;13;54
2021;setembro;9;14;201
2021;setembro;9;15;88
2021;setembro;9;16;67
2021;setembro;9;17;104
2021;setembro;9;21;206
2021;setembro;9;22;32
2021;setembro;9;23;29
2021;setembro;9;24;88
2021;setembro;9;27;55
2021;setembro;9;28;195
2021;setembro;9;29;88
2021;setembro;9;30;24
2021;outubro;10;1;85
2021;outubro;10;4;65
2021;outubro;10;5;156
2021;outubro;10;6;121
2021;outubro;10;7;27
2021;outubro;10;8;105
2021;outubro;10;11;153
2021;outubro;10;13;177
2021;outubro;10;14;39
2021;outubro;10;15;98
2021;outubro;10;18;76
2021;outubro;10;19;124
2021;outubro;10;20;146
2021;outubro;10;21;16
2021;outubro;10;22;111
2021;outubro;10;25;70
2021;outubro;10;26;124
2021;outubro;10;27;144
2021;outubro;10;28;19
2021;outubro;10;29;104
2021;novembro;11;1;148
2021;novembro;11;3;145
2021;novembro;11;4;24
2021;novembro;11;5;96
2021;novembro;11;8;131
2021;novembro;11;9;141
2021;novembro;11;10;168
2021;novembro;11;11;33
2021;novembro;11;12;130
2021;novembro;11;16;154
2021;novembro;11;17;191
2021;novembro;11;18;124
2021;novembro;11;19;106
2021;novembro;11;22;54
2021;novembro;11;23;123
2021;novembro;11;24;164
2021;novembro;11;25;6
2021;novembro;11;26;108
2021;novembro;11;29;88
2021;novembro;11;30;115
2021;dezembro;12;1;122
2021;dezembro;12;2;12
2021;dezembro;12;3;96
2021;dezembro;12;6;95
2021;dezembro;12;7;126
2021;dezembro;12;8;148
2021;dezembro;12;9;20
2021;dezembro;12;10;99
2021;dezembro;12;13;80
2021;dezembro;12;14;125
2021;dezembro;12;15;140
2021;dezembro;12;16;13
2021;dezembro;12;17;97
2021;dezembro;12;20;149
2021;dezembro;12;21;93
2021;dezembro;12;22;95
2021;dezembro;12;23;99
2021;dezembro;12;27;195
2021;dezembro;12;28;44
2021;dezembro;12;29;90
2021;dezembro;12;30;4
2022;janeiro;1;3;57
2022;janeiro;1;4;99
2022;janeiro;1;5;133
2022;janeiro;1;6;9
