LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Ano];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Mês];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[MonthNo];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Dia];[Valor_Total_de_Venda]
2018;janeiro;1;2;166933,36
2018;janeiro;1;3;313238,11
2018;janeiro;1;4;136644,75
2018;janeiro;1;5;64650,58
2018;janeiro;1;8;229826,13
2018;janeiro;1;9;242904,98
2018;janeiro;1;10;30015,42
2018;janeiro;1;11;169531,07
2018;janeiro;1;12;145706,23
2018;janeiro;1;15;181835,76
2018;janeiro;1;16;286701,72
2018;janeiro;1;17;68822,92
2018;janeiro;1;18;117601,8
2018;janeiro;1;19;77727,13
2018;janeiro;1;22;93643,7
2018;janeiro;1;23;240037,5
2018;janeiro;1;24;24134,51
2018;janeiro;1;25;153021,68
2018;janeiro;1;26;33886,45
2018;janeiro;1;29;124095
2018;janeiro;1;30;242778,11
2018;janeiro;1;31;264107,92
2018;fevereiro;2;1;1247,07
2018;fevereiro;2;2;31763,72
2018;fevereiro;2;5;110227,67
2018;fevereiro;2;6;291118,48
2018;fevereiro;2;7;21552,32
2018;fevereiro;2;8;142298,16
2018;fevereiro;2;9;228703,54
2018;fevereiro;2;13;298388,56
2018;fevereiro;2;14;97079,71
2018;fevereiro;2;15;107763,64
2018;fevereiro;2;16;32183,57
2018;fevereiro;2;19;178963,81
2018;fevereiro;2;20;266271,31
2018;fevereiro;2;21;25474,46
2018;fevereiro;2;22;181098,4
2018;fevereiro;2;23;92201,89
2018;fevereiro;2;26;172468,9
2018;fevereiro;2;27;297566,64
2018;fevereiro;2;28;305423,92
2018;março;3;1;54022,42
2018;março;3;2;28049,2
2018;março;3;5;138151,39
2018;março;3;6;229352,65
2018;março;3;7;35481,39
2018;março;3;8;177150,58
2018;março;3;9;94772,41
2018;março;3;12;174377,45
2018;março;3;13;247358,21
2018;março;3;14;177523,15
2018;março;3;15;175141,56
2018;março;3;16;35916,59
2018;março;3;19;138958,67
2018;março;3;20;207939,87
2018;março;3;21;185237,57
2018;março;3;22;92514,83
2018;março;3;23;71964,47
2018;março;3;26;163252,4
2018;março;3;27;257106,5
2018;março;3;28;237557,82
2018;março;3;29;161004,1
2018;março;3;31;163,92
2018;abril;4;2;70266,86
2018;abril;4;3;255948,03
2018;abril;4;4;144098,38
2018;abril;4;5;68923,96
2018;abril;4;6;78920,31
2018;abril;4;9;165630,43
2018;abril;4;10;338789,85
2018;abril;4;11;175649,79
2018;abril;4;12;88788,46
2018;abril;4;13;22463,99
2018;abril;4;16;170569,35
2018;abril;4;17;274269,6
2018;abril;4;18;182828,96
2018;abril;4;19;63258,97
2018;abril;4;20;68060,13
2018;abril;4;23;144104,96
2018;abril;4;24;285708,35
2018;abril;4;25;263268,16
2018;abril;4;26;81692,74
2018;abril;4;27;173190,59
2018;abril;4;30;345113,78
2018;maio;5;2;29807,32
2018;maio;5;3;89046,36
2018;maio;5;4;23304,91
2018;maio;5;7;186508,38
2018;maio;5;8;294239,22
2018;maio;5;9;244151,11
2018;maio;5;10;52847,43
2018;maio;5;11;76363,76
2018;maio;5;14;159882,34
