Cidades[Cidade];LocalDateTable_ba934b29-0be9-45fc-a5b6-a2a0bace3d1b[Ano];[MinUF]
Alvorada;2023;RS
Aratiba;2023;RS
Arroio do Meio;2023;RS
Arroio dos Ratos;2023;RS
Arujá;2023;SP
Balneário Camboriú;2023;SC
Balneario Pinhal;2023;RS
Barão de Cotegipe;2023;RS
Barueri;2023;SP
Bento Gonçalves;2023;RS
Biguaçu;2023;SC
Brusque;2023;SC
Cabreúva;2023;SP
Cachoeirinha;2023;RS
Cajamar;2023;SP
Camaquã;2023;RS
Campina Grande do Sul;2023;PR
Campinas;2023;SP
Campinas do Sul;2023;RS
Canoas;2023;RS
Capão da Canoa;2023;RS
Carapicuíba;2023;SP
Carlos Gomes;2023;RS
Casca;2023;RS
Caxias do Sul;2023;RS
Centenário;2023;RS
Chapecó;2023;SC
Cidreira;2023;RS
Colombo;2023;PR
Concórdia;2023;SC
Coronel Freitas;2023;SC
Cruzaltense;2023;RS
Curitiba;2023;PR
Diadema;2023;SP
Dois Irmãos;2023;RS
Eldorado do Sul;2023;RS
Embu das Artes;2023;SP
Embu-Guaçu;2023;SP
Encantado;2023;RS
Entre Rios do Sul;2023;RS
Erechim;2023;RS
Estação;2023;RS
Estância Velha;2023;RS
Esteio;2023;RS
Florianópolis;2023;SC
Garibaldi;2023;RS
Gaspar;2023;SC
Gaurama;2023;RS
Getúlio Vargas;2023;RS
Gravataí;2023;RS
Guabiruba;2023;SC
Guaíba;2023;RS
Guaporé;2023;RS
Guarulhos;2023;SP
Imbé;2023;RS
Indaiatuba;2023;SP
Itajaí;2023;SC
Itapema;2023;SC
Ivoti;2023;RS
Jacutinga;2023;RS
Joaçaba;2023;SC
Lagoa Vermelha;2023;RS
Lajeado;2023;RS
Marau;2023;RS
Marcelino Ramos;2023;RS
Mariana Pimentel;2023;RS
Montenegro;2023;RS
Não-Me-Toque;2023;RS
Nonoai;2023;RS
Nova Hartz;2023;RS
Nova Petrópolis;2023;RS
Nova Prata;2023;RS
Nova Santa Rita;2023;RS
Nova Trento;2023;SC
Novo Hamburgo;2023;RS
Osório;2023;RS
Palhoça;2023;SC
Palmares do Sul;2023;RS
Passo Fundo;2023;RS
Paulo Bento;2023;RS
Piedade;2023;SP
Pinhais;2023;PR
Planalto;2023;PR
Pontal do Paraná;2023;PR
Pontão;2023;RS
Porto Alegre;2023;RS
Pouso Novo;2023;RS
Salto;2023;SP
Santo Amaro da Imperatriz;2023;SC
Santo André;2023;SP
São Bernardo do Campo;2023;SP
São Caetano do Sul;2023;SP
São José;2023;SC
São José dos Campos;2023;SP
São José dos Pinhais;2023;PR
São Leopoldo;2023;RS
São Paulo;2023;SP
São Valentim;2023;RS
São Vicente;2023;SP
Sapiranga;2023;RS
Sapucaia do Sul;2023;RS
Sorocaba;2023;SP
Tapejara;2023;PR
Torres;2023;RS
Tramandaí;2023;RS
Três Arroios;2023;RS
Três Coroas;2023;RS
Veranópolis;2023;RS
Viadutos;2023;RS
Viamão;2023;RS
Vila Maria;2023;RS
Xangri-lá;2023;RS
Xanxerê;2023;SC
Xaxim;2023;SC
