Produtos[Produto/Serviço];Cidade[Cidade];[MinEstado];[MinMarca]
;Erechim;Rio Grande do Sul;
;Farroupilha;Rio Grande do Sul;
;Porto Alegre;Rio Grande do Sul;
1 - COXINHA DE FRANGO 22G - CX 6 KG;Águas de Chapecó;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Alvorada;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Arroio do Meio;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Arroio dos Ratos;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Arujá;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Balneário Camboriú;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Balneario Pinhal;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Barueri;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Biguaçu;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Cabreúva;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Cachoeirinha;Pernambuco;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Cajamar;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Camboriú;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Campinas;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Canoas;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Capão da Canoa;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Carapicuíba;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Carazinho;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Casca;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Cascavel;Ceará;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Caxias do Sul;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Chapecó;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Cidreira;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Coronel Freitas;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Curitiba;Paraná;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Diadema;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Dois Irmãos;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Eldorado do Sul;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Erechim;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Estância Velha;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Esteio;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Florianópolis;Santa Catarina;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Gravataí;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Guaíba;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Guaporé;Rio Grande do Sul;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Guarulhos;São Paulo;ZIN PÃO
1 - COXINHA DE FRANGO 22G - CX 6 KG;Imbé;Rio Grande do Sul;ZIN PÃO
