Produtos[Produto/Serviço];[SumValor_Total]
56 - BISCOITO TRÊS QUEIJOS 25G ZIN PAO - CX 6 KG;25830817,73
45 - PÃO DE QUEIJO TRADICIONAL 25G FAZENDA MINAS - CX 6 KG;23419046,02
1 - COXINHA DE FRANGO 22G - CX 6 KG;15416183,59
22 - COXINHA DE FRANGO COM REQUEIJÃO 120G - CX 6 KG;14534701,1
1070 - PÃO DE ALHO TRADICIONAL RESFRIADO 400G - CX 4,8 KG;14223211,57
910 - PÃO DE QUEIJO TRAD. FAZ MINAS 400G VAREJO - CX 6 KG;11639368,19
55 - PÃO DE QUEIJO BIG 100G ZIN PAO - CX 6 KG;10720466,42
1325 - RISOLES DE FRANGO (MEIA LUA) - CX 6 KG;9675163,286
18 - MINI CHURROS DOCE DE LEITE - CX 6 KG;8817429,454
11 - BOLINHA DE QUEIJO MUSSARELA 20G - CX 6 KG;8804276,923
13 - CROQUETE DE CARNE COM REQUEIJÃO 20G - CX 6 KG;8529400,503
26 - COXINHA DE FRANGO TRADICIONAL 120G - CX 6 KG;6370141,05
1600 - PÃO DE ALHO TRADICIONAL SEM REFRIGERAÇÃO 310G - CX 3,72 KG;5548507,252
1324 - RISOLES DE QUEIJO (MEIA LUA) - CX 6 KG;5405200,15
4 - RISOLES DE QUATRO QUEIJOS 20G - CX 6 KG;5291286,967
1326 - RISOLES DE CARNE (MEIA LUA) - CX 6 KG;5055308,249
2300 - PASTEL DE CARNE 100G PARA FRITAR - CX 3 KG;4848456,57
1577 - PÃO DE QUEIJO FUNCIONAL CONGELADO 100G - CX 6 KG;4775956,32
532 - CHIPA ZIN PÃO - CX 6 KG;4254493,799
14 - CROQUETE DE FRANGO COM REQ. CHEDDAR 20G - CX 6 KG;3824476,351
1217 - PÃO DE QUEIJO CONGELADO MINI 20G - CX 6 KG;3084147,34
5 - RISOLES DE REQUEIJÃO 20G - CX 6 KG;2894267,754
7 - MINI RISOLES DE PRESUNTO E QUEIJO - CX 6 KG;2840589,615
539 - SALSICHA EMPANADA FATIADA - CX 6 KG;2494817,75
1622 - PÃO DE QUEIJO COM BATATA DOCE 400G - CX 6 KG;2491462,051
17 - KIBE COM REQUEIJÃO 20G - CX 6 KG;2336899,747
949 - GROSTOLI (CUECA VIRADA) - CX 6 KG;2298018,73
56 - BISCOITO TRÊS QUEIJOS 25G ZIN PAO - KG;2295432,161
23 - SALSICHA EMPANADA INTEIRA - INATIVO;2030204,992
1259 - MINI KIBE PRÉ FRITO FAZENDA MINAS 300G - CX 6 KG;1956279,772
51 - PÃO DE QUEIJO TRADICIONAL 25G ZIN PAO - CX 6 KG;1889769,22
1069 - PÃO DE ALHO PICANTE RESFRIADO - CX 4,8 KG;1871092,067
29 - KIBE COM REQUEIJÃO 100G - CX 6 KG;1800150,907
47 - PÃO DE QUEIJO LANCHE 60G FAZENDA MINAS - CX 6 KG;1713834,982
44 - PÃO DE QUEIJO COQUETEL 12G FAZENDA MINAS - CX 6 KG;1588959,842
25 - RISOLES DE PRESUNTO E QUEIJO - CX 6 KG;1577102,246
2301 - PASTEL DE FRANGO 100G PARA FRITAR - CX 3 KG;1535205,01
2298 - BOLINHO DE BATATA DE CARNE - CX 6 KG;1503704,516
2248 - CHIPA GOURMET - CX 6 KG;1492113,236
961 - GROSTOLI SEQUILHO ESPECIAL - CX 6 KG;1320389,193
16 - KIBE TRADICIONAL 20G - CX 6 KG;1283630,347
1 - COXINHA DE FRANGO 22G - KG;1276140,146
30 - KIBE TRADICIONAL 100G - CX 6 KG;1195700,295
886 - BOLINHO DE CARNE 100G - CX 6 KG;1163504,129
28 - CROQUETE DE CARNE COM REQUEIJÃO 100G - CX 6 KG;1133792,91
1257 - MINI COXINHA DE FRANGO PRÉ FRITA FAZENDA MINAS 300G - CX 6 KG;1117418,177
1863 - PÃO DE ALHO TRADICIONAL RESFRIADO EXCELSIOR 400g - CX 4,8 KG;1106335,27
887 - BOLINHO DE QUEIJO 100G - CX 6 KG;1101842,741
2299 - BOLINHO DE BATATA DE FRANGO - CX 6 KG;1069470,372
9 - MINI RISOLES DE CARNE COM REQUEIJÃO - CX 6 KG;1045606,3
536 - COXINHA DE FRANGO COM ALHO 120G - CX 6 KG;1033203,598
3 - MINI RISOLES DE FRANGO COM REQUEIJÃO - CX 6 KG;995416,5644
21 - RISOLES DE FRANGO COM REQUEIJÃO - CX 6 KG;982820,8518
1133 - COXINHA DE BROCOLIS 22G - CX 6 KG;979189,45
50 - PÃO DE QUEIJO COQUETEL 12G ZIN PAO - CX 6 KG;902104,295
53 - PÃO DE QUEIJO LANCHE 60G ZIN PAO - CX 6 KG;897925,93
2226 - CHIPA COM GOIABADA - CX 6 KG;856857,29
11 - BOLINHA DE QUEIJO MUSSARELA 20G - KG;789499,51
2314 - PÃO FRANCÊS CONGELADO 6H - KG;746393,4976
888 - BOLINHO DE BACALHAU 100G - CX 6 KG;718982,8584
75 - PÃO FRANCES CONGELADO KG - 6H - KG;703610,586
872 - EMPADÃO DE FRANGO COM REQUEIJÃO 1,5KG - CX 9 KG;684621,402
1551 - F11 - ESCONDIDINHO DE 150G FRANGO +250G BATATA DOCE - CX 10 BDJ;660969,4065
961 - GROSTOLI SEQUILHO ESPECIAL - INATIVO;660341,34
8 - RISOLES DE CALABRESA COM REQUEIJÃO 20G - CX 6 KG;636981,8445
23 - SALSICHA EMPANADA INTEIRA - CX 6 KG;633219,83
1612 - MINI PASTEL DE CARNE PARA FRITAR - CX 6 KG;629321,89
49 - PÃO DE QUEIJO BIG 100G FAZENDA MINAS - CX 6 KG;615805,8622
2099 - DADINHO DE TAPIOCA - CX 6 KG;607333,01
1950 - PÃO DE QUEIJO FAZENDA MINAS TRADICIONAL 1,2KG -PROMOCIONAL - CX 7,2 KG;606108,9477
2268 - MINI BOLINHA 5 QUEIJOS BUONGUSTO 20g - CX 6 KG;577155,9
949 - GROSTOLI (CUECA VIRADA) - INATIVO;577055,35
2251 - MINI COXINHA DE FRANGO 22G BUONGUSTO - CX 6 KG;508015,79
1070 - PÃO DE ALHO TRADICIONAL RESFRIADO 400G - BDJ 400 G;507718,1806
2075 - MINI CROQUETE DE CARNE COM REQUEIJÃO BUONGUSTO 20g - CX 6 KG;495913,82
2 - MINI RISOLES DE FRANGO - CX 6 KG;480115,61
2249 - PÃO DE QUEIJO COQUETEL 15G BUONGUSTO - CX 6 KG;462349,55
2 - MINI RISOLES DE FRANGO - KG;456222,7843
1258 - MINI BOLINHA DE QUEIJO PRÉ FRITO FAZENDA MINAS 300G - CX 6 KG;454672,451
